airport_id,name,city,country,iata,icao,lat,long,altitude,timezone,dst,tz
49,Edmonton Intl,Edmonton,Canada,YEG,CYEG,53.309723,-113.579722,2373,-7,A,America/Edmonton
50,Arviat,Eskimo Point,Canada,YEK,CYEK,61.094166,-94.070833,32,-6,A,America/Winnipeg
51,Estevan,Estevan,Canada,YEN,CYEN,49.210278,-102.965833,1905,-6,N,America/Regina
52,Edson,Edson,Canada,YET,CYET,53.578888,-116.465,3041,-7,A,America/Edmonton
53,Eureka,Eureka,Canada,YEU,CYEU,79.994722,-85.814167,256,-6,A,America/Winnipeg
54,Inuvik Mike Zubko,Inuvik,Canada,YEV,CYEV,68.304167,-133.482778,224,-7,A,America/Edmonton
55,Iqaluit,Iqaluit,Canada,YFB,CYFB,63.75639,-68.555832,110,-5,A,America/Toronto
56,Fredericton,Fredericton,Canada,YFC,CYFC,45.868889,-66.537222,68,-4,A,America/Halifax
57,Forestville,Forestville,Canada,,CYFE,48.746111,-69.097222,293,-5,A,America/Toronto
58,Flin Flon,Flin Flon,Canada,YFO,CYFO,54.678055,-101.681667,997,-6,A,America/Winnipeg
59,Fort Resolution,Fort Resolution,Canada,YFR,CYFR,61.180832,-113.689722,526,-7,A,America/Edmonton
60,Fort Simpson,Fort Simpson,Canada,YFS,CYFS,61.760153,-121.236525,555,-7,A,America/Edmonton
61,Kingston,Kingston,Canada,YGK,CYGK,44.225277,-76.596944,305,-5,A,America/Toronto
62,La Grande Riviere,La Grande Riviere,Canada,YGL,CYGL,53.625278,-77.704167,639,-5,A,America/Toronto
63,Gaspe,Gaspe,Canada,YGP,CYGP,48.775278,-64.478611,108,-5,A,America/Toronto
64,Geraldton Greenstone Regional,Geraldton,Canada,YGQ,CYGQ,49.778332,-86.939445,1144,-5,A,America/Toronto
65,Iles De La Madeleine,Iles De La Madeleine,Canada,YGR,CYGR,47.424721,-61.778056,35,-5,A,America/Toronto
66,Hudson Bay,Hudson Bay,Canada,YHB,CYHB,52.816666,-102.31139,1175,-6,N,America/Regina
67,Dryden Rgnl,Dryden,Canada,YHD,CYHD,49.831667,-92.744167,1354,-6,A,America/Winnipeg
68,Ulukhaktok Holman,Holman Island,Canada,YHI,CYHI,70.762778,-117.806111,117,-7,A,America/Edmonton
69,Gjoa Haven,Gjoa Haven,Canada,YHK,CYHK,68.635556,-95.849722,152,-7,A,America/Edmonton
70,Hamilton,Hamilton,Canada,YHM,CYHM,43.173611,-79.935,780,-5,A,America/Toronto
71,St Hubert,Montreal,Canada,YHU,CYHU,45.5175,-73.416944,90,-5,A,America/Toronto
72,Hay River,Hay River,Canada,YHY,CYHY,60.839722,-115.782778,543,-7,A,America/Edmonton
73,Halifax Intl,Halifax,Canada,YHZ,CYHZ,44.880833,-63.50861,477,-4,A,America/Halifax
74,Atikokan Muni,Atikokan,Canada,YIB,CYIB,48.773888,-91.638611,1408,-5,A,America/Coral_Harbour
75,Pond Inlet,Pond Inlet,Canada,YIO,CYIO,72.683334,-77.966667,181,-5,A,America/Toronto
76,St Jean,St. Jean,Canada,YJN,CYJN,45.294445,-73.281111,136,-5,A,America/Toronto
77,Stephenville,Stephenville,Canada,YJT,CYJT,48.544167,-58.549999,80,-3.5,A,America/St_Johns
78,Kamloops,Kamloops,Canada,YKA,CYKA,50.702222,-120.444444,1133,-8,A,America/Vancouver
79,Waterloo,Waterloo,Canada,YKF,CYKF,43.460833,-80.378611,1054,-5,A,America/Toronto
80,Schefferville,Schefferville,Canada,YKL,CYKL,54.805278,-66.805278,1709,-5,A,America/Toronto
81,Kindersley,Kindersley,Canada,YKY,CYKY,51.5175,-109.180833,2277,-6,N,America/Regina
82,Buttonville Muni,Toronto,Canada,YKZ,CYKZ,43.862221,-79.37,650,-5,A,America/Toronto
83,Chapleau,Chapleau,Canada,YLD,CYLD,47.82,-83.346667,1470,-5,A,America/Toronto
84,Meadow Lake,Meadow Lake,Canada,YLJ,CYLJ,54.125278,-108.522778,1576,-6,N,America/Regina
85,Lloydminster,Lloydminster,Canada,YLL,CYLL,53.309166,-110.0725,2193,-7,A,America/Edmonton
86,Alert,Alert,Canada,YLT,CYLT,82.517778,-62.280556,100,-5,A,America/Toronto
87,Kelowna,Kelowna,Canada,YLW,CYLW,49.956112,-119.377778,1409,-8,A,America/Vancouver
88,Mayo,Mayo,Canada,YMA,CYMA,63.616389,-135.868333,1653,-8,A,America/Vancouver
89,Moose Jaw Air Vice Marshal C M Mcewen,Moose Jaw,Canada,YMJ,CYMJ,50.330278,-105.559167,1892,-6,N,America/Regina
90,Fort Mcmurray,Fort Mcmurray,Canada,YMM,CYMM,56.653333,-111.221944,1211,-7,A,America/Edmonton
91,Moosonee,Moosonee,Canada,YMO,CYMO,51.291111,-80.607778,30,-5,A,America/Toronto
92,Maniwaki,Maniwaki,Canada,YMW,CYMW,46.272778,-75.990556,656,-5,A,America/Toronto
93,Montreal Intl Mirabel,Montreal,Canada,YMX,CYMX,45.681944,-74.005278,270,-5,A,America/Toronto
94,Natashquan,Natashquan,Canada,YNA,CYNA,50.19,-61.789167,39,-5,A,America/Toronto
95,Gatineau,Gatineau,Canada,YND,CYND,45.521694,-75.563589,211,-5,A,America/Toronto
96,Matagami,Matagami,Canada,YNM,CYNM,49.761667,-77.802778,918,-5,A,America/Toronto
97,Old Crow,Old Crow,Canada,YOC,CYOC,67.570556,-139.839167,824,-8,A,America/Vancouver
98,Cold Lake,Cold Lake,Canada,YOD,CYOD,54.404999,-110.279444,1775,-7,A,America/Edmonton
99,High Level,High Level,Canada,YOJ,CYOJ,58.621389,-117.164722,1110,-7,A,America/Edmonton
100,Ottawa Macdonald Cartier Intl,Ottawa,Canada,YOW,CYOW,45.3225,-75.669167,374,-5,A,America/Toronto
101,Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA,53.214167,-105.672778,1405,-6,N,America/Regina
102,Peace River,Peace River,Canada,YPE,CYPE,56.226944,-117.447222,1873,-7,A,America/Edmonton
103,Southport,Portage-la-prairie,Canada,YPG,CYPG,49.903056,-98.273889,885,-6,A,America/Winnipeg
104,Pitt Meadows,Pitt Meadows,Canada,,CYPK,49.21611,-122.71,11,-8,A,America/Vancouver
105,Pickle Lake,Pickle Lake,Canada,YPL,CYPL,51.446388,-90.214167,1267,-5,A,America/Coral_Harbour
106,Port Menier,Port Menier,Canada,YPN,CYPN,49.836389,-64.288611,167,-5,A,America/Toronto
107,Peterborough,Peterborough,Canada,YPQ,CYPQ,44.23,-78.363333,628,-5,A,America/Toronto
108,Prince Rupert,Prince Pupert,Canada,YPR,CYPR,54.28611,-130.444722,116,-8,A,America/Vancouver
109,Fort Chipewyan,Fort Chipewyan,Canada,YPY,CYPY,58.767223,-111.117222,761,-7,A,America/Edmonton
110,Muskoka,Muskoka,Canada,YQA,CYQA,44.974722,-79.303333,925,-5,A,America/Toronto
111,Quebec Jean Lesage Intl,Quebec,Canada,YQB,CYQB,46.791111,-71.393333,244,-5,A,America/Toronto
112,Red Deer Regional,Red Deer Industrial,Canada,YQF,CYQF,52.182222,-113.894444,2968,-7,A,America/Edmonton
113,Windsor,Windsor,Canada,YQG,CYQG,42.275556,-82.955556,622,-5,A,America/Toronto
114,Watson Lake,Watson Lake,Canada,YQH,CYQH,60.116389,-128.8225,2255,-8,A,America/Vancouver
115,Kenora,Kenora,Canada,YQK,CYQK,49.788334,-94.363056,1332,-6,A,America/Winnipeg
116,Lethbridge,Lethbridge,Canada,YQL,CYQL,49.630278,-112.799722,3047,-7,A,America/Edmonton
117,Greater Moncton Intl,Moncton,Canada,YQM,CYQM,46.112221,-64.678611,232,-4,A,America/Halifax
119,Comox,Comox,Canada,YQQ,CYQQ,49.710833,-124.886667,84,-8,A,America/Vancouver
120,Regina Intl,Regina,Canada,YQR,CYQR,50.431944,-104.665833,1894,-6,N,America/Regina
121,Thunder Bay,Thunder Bay,Canada,YQT,CYQT,48.371944,-89.323889,653,-5,A,America/Toronto
122,Grande Prairie,Grande Prairie,Canada,YQU,CYQU,55.179722,-118.885,2195,-7,A,America/Edmonton
123,Yorkton Muni,Yorkton,Canada,YQV,CYQV,51.264721,-102.461667,1635,-6,N,America/Regina
124,North Battleford,North Battleford,Canada,YQW,CYQW,52.769167,-108.24361,1799,-6,N,America/Regina
125,Gander Intl,Gander,Canada,YQX,CYQX,48.936944,-54.568056,496,-3.5,A,America/St_Johns
126,Sydney,Sydney,Canada,YQY,CYQY,46.161388,-60.047779,203,-4,A,America/Halifax
127,Quesnel,Quesnel,Canada,YQZ,CYQZ,53.026112,-122.510278,1789,-8,A,America/Vancouver
128,Resolute Bay,Resolute,Canada,YRB,CYRB,74.716944,-94.969444,215,-6,A,America/Winnipeg
129,Riviere Du Loup,Riviere Du Loup,Canada,YRI,CYRI,47.764444,-69.584722,427,-5,A,America/Toronto
130,Roberval,Roberval,Canada,YRJ,CYRJ,48.52,-72.265556,586,-5,A,America/Toronto
131,Rocky Mountain House,Rocky Mountain House,Canada,YRM,CYRM,52.429722,-114.904167,3244,-7,A,America/Edmonton
132,Rankin Inlet,Rankin Inlet,Canada,YRT,CYRT,62.81139,-92.115833,94,-6,A,America/Winnipeg
133,Sudbury,Sudbury,Canada,YSB,CYSB,46.625,-80.798889,1141,-5,A,America/Toronto
134,Sherbrooke,Sherbrooke,Canada,YSC,CYSC,45.438611,-71.691389,792,-5,A,America/Toronto
135,Saint John,St. John,Canada,YSJ,CYSJ,45.316111,-65.890278,357,-4,A,America/Halifax
136,Fort Smith,Fort Smith,Canada,YSM,CYSM,60.020278,-111.961944,671,-7,A,America/Edmonton
137,Nanisivik,Nanisivik,Canada,YSR,CYSR,72.982222,-84.613611,2106,-5,A,America/Toronto
138,Summerside,Summerside,Canada,YSU,CYSU,46.440556,-63.833611,56,-4,A,America/Halifax
139,Sachs Harbour,Sachs Harbour,Canada,YSY,CYSY,71.993889,-125.2425,282,-7,A,America/Edmonton
140,Cape Dorset,Cape Dorset,Canada,YTE,CYTE,64.23,-76.526667,164,-5,A,America/Toronto
141,Thompson,Thompson,Canada,YTH,CYTH,55.801111,-97.864166,729,-6,A,America/Winnipeg
142,Trenton,Trenton,Canada,YTR,CYTR,44.118889,-77.528056,283,-5,A,America/Toronto
143,Timmins,Timmins,Canada,YTS,CYTS,48.569721,-81.376667,967,-5,A,America/Toronto
144,City Centre,Toronto,Canada,YTZ,CYTZ,43.627499,-79.396167,251,-5,A,America/Toronto
145,Tuktoyaktuk,Tuktoyaktuk,Canada,YUB,CYUB,69.433334,-133.026389,15,-7,A,America/Edmonton
146,Pierre Elliott Trudeau Intl,Montreal,Canada,YUL,CYUL,45.470556,-73.740833,118,-5,A,America/Toronto
147,Repulse Bay,Repulse Bay,Canada,YUT,CYUT,66.521389,-86.224722,80,-6,A,America/Winnipeg
148,Hall Beach,Hall Beach,Canada,YUX,CYUX,68.776111,-81.243611,27,-5,A,America/Toronto
149,Rouyn Noranda,Rouyn,Canada,YUY,CYUY,48.206111,-78.835556,988,-5,A,America/Toronto
150,La Ronge,La Ronge,Canada,YVC,CYVC,55.15139,-105.261944,1242,-6,N,America/Regina
151,Vermilion,Vermillion,Canada,YVG,CYVG,53.355833,-110.82389,2025,-7,A,America/Edmonton
152,Qikiqtarjuaq,Broughton Island,Canada,YVM,CYVM,67.545833,-64.031389,21,-5,A,America/Toronto
153,Val D Or,Val D'or,Canada,YVO,CYVO,48.053333,-77.782778,1107,-5,A,America/Toronto
154,Kuujjuaq,Quujjuaq,Canada,YVP,CYVP,58.096111,-68.426944,129,-5,A,America/Toronto
155,Norman Wells,Norman Wells,Canada,YVQ,CYVQ,65.281617,-126.798219,238,-7,A,America/Edmonton
156,Vancouver Intl,Vancouver,Canada,YVR,CYVR,49.193889,-123.184444,14,-8,A,America/Vancouver
157,Buffalo Narrows,Buffalo Narrows,Canada,YVT,CYVT,55.841944,-108.4175,1444,-6,N,America/Regina
158,Wiarton,Wiarton,Canada,YVV,CYVV,44.745834,-81.107222,729,-5,A,America/Toronto
159,Petawawa,Petawawa,Canada,YWA,CYWA,45.952221,-77.319168,427,-5,A,America/Toronto
160,Winnipeg Intl,Winnipeg,Canada,YWG,CYWG,49.910036,-97.239886,783,-6,A,America/Winnipeg
161,Wabush,Wabush,Canada,YWK,CYWK,52.921944,-66.864444,1808,-4,A,America/Halifax
162,Williams Lake,Williams Lake,Canada,YWL,CYWL,52.183056,-122.054167,3085,-8,A,America/Vancouver
163,Wrigley,Wrigley,Canada,YWY,CYWY,63.209444,-123.436667,489,-7,A,America/Edmonton
164,Canadian Rockies Intl,Cranbrook,Canada,YXC,CYXC,49.612222,-115.781944,3084,-7,A,America/Edmonton
165,Edmonton City Centre,Edmonton,Canada,YXD,CYXD,53.5725,-113.520556,2200,-7,A,America/Edmonton
166,Saskatoon J G Diefenbaker Intl,Saskatoon,Canada,YXE,CYXE,52.170834,-106.699722,1653,-6,N,America/Regina
167,Medicine Hat,Medicine Hat,Canada,YXH,CYXH,50.01889,-110.720833,2352,-7,A,America/Edmonton
168,Fort St John,Fort Saint John,Canada,YXJ,CYXJ,56.238056,-120.740278,2280,-7,A,America/Dawson_Creek
169,Sioux Lookout,Sioux Lookout,Canada,YXL,CYXL,50.113889,-91.905278,1258,-6,A,America/Winnipeg
170,Pangnirtung,Pangnirtung,Canada,YXP,CYXP,66.145,-65.713611,75,-5,A,America/Toronto
171,Timiskaming Rgnl,Earlton,Canada,YXR,CYXR,47.695,-79.848889,798,-5,A,America/Toronto
172,Prince George,Prince George,Canada,YXS,CYXS,53.889444,-122.678889,2267,-8,A,America/Vancouver
173,Terrace,Terrace,Canada,YXT,CYXT,54.468508,-128.576219,713,-8,A,America/Vancouver
174,London,London,Canada,YXU,CYXU,43.033056,-81.151111,912,-5,A,America/Toronto
175,Abbotsford,Abbotsford,Canada,YXX,CYXX,49.025278,-122.360556,195,-8,A,America/Vancouver
176,Whitehorse Intl,Whitehorse,Canada,YXY,CYXY,60.709553,-135.067269,2317,-8,A,America/Vancouver
177,North Bay,North Bay,Canada,YYB,CYYB,46.363611,-79.422778,1215,-5,A,America/Toronto
178,Calgary Intl,Calgary,Canada,YYC,CYYC,51.113888,-114.020278,3557,-7,A,America/Edmonton
179,Smithers,Smithers,Canada,YYD,CYYD,54.824722,-127.182778,1712,-8,A,America/Vancouver
180,Fort Nelson,Fort Nelson,Canada,YYE,CYYE,58.836389,-122.596944,1253,-8,A,America/Vancouver
181,Penticton,Penticton,Canada,YYF,CYYF,49.463056,-119.602222,1129,-8,A,America/Vancouver
182,Charlottetown,Charlottetown,Canada,YYG,CYYG,46.290001,-63.121111,160,-4,A,America/Halifax
183,Taloyoak,Spence Bay,Canada,YYH,CYYH,69.546667,-93.576667,92,-7,A,America/Edmonton
184,Victoria Intl,Victoria,Canada,YYJ,CYYJ,48.646944,-123.425833,63,-8,A,America/Vancouver
185,Lynn Lake,Lynn Lake,Canada,YYL,CYYL,56.863888,-101.07611,1170,-6,A,America/Winnipeg
186,Swift Current,Swift Current,Canada,YYN,CYYN,50.291944,-107.690556,2680,-6,N,America/Regina
187,Churchill,Churchill,Canada,YYQ,CYYQ,58.739167,-94.065,94,-6,A,America/Winnipeg
188,Goose Bay,Goose Bay,Canada,YYR,CYYR,53.319168,-60.425833,160,-4,A,America/Halifax
189,St Johns Intl,St. John's,Canada,YYT,CYYT,47.61861,-52.751945,461,-3.5,A,America/St_Johns
190,Kapuskasing,Kapuskasing,Canada,YYU,CYYU,49.413889,-82.4675,743,-5,A,America/Toronto
191,Armstrong,Armstrong,Canada,YYW,CYYW,50.290279,-88.909721,1058,-5,A,America/Toronto
192,Mont Joli,Mont Joli,Canada,YYY,CYYY,48.608612,-68.208056,172,-5,A,America/Toronto
193,Lester B Pearson Intl,Toronto,Canada,YYZ,CYYZ,43.677223,-79.630556,569,-5,A,America/Toronto
194,Downsview,Toronto,Canada,YZD,CYZD,43.7425,-79.465556,652,-5,A,America/Toronto
195,Gore Bay Manitoulin,Gore Bay,Canada,YZE,CYZE,45.885277,-82.567778,635,-5,A,America/Toronto
196,Yellowknife,Yellowknife,Canada,YZF,CYZF,62.462778,-114.440278,675,-7,A,America/Edmonton
197,Slave Lake,Slave Lake,Canada,YZH,CYZH,55.293056,-114.777222,1912,-7,A,America/Edmonton
198,Sandspit,Sandspit,Canada,YZP,CYZP,53.254333,-131.813833,21,-8,A,America/Vancouver
199,Chris Hadfield,Sarnia,Canada,YZR,CYZR,42.999444,-82.308889,594,-5,A,America/Toronto
200,Port Hardy,Port Hardy,Canada,YZT,CYZT,50.680556,-127.366667,71,-8,A,America/Vancouver
201,Whitecourt,Whitecourt,Canada,YZU,CYZU,54.14389,-115.786667,2567,-7,A,America/Edmonton
202,Sept Iles,Sept-iles,Canada,YZV,CYZV,50.223333,-66.265556,180,-5,A,America/Toronto
203,Teslin,Teslin,Canada,YZW,CYZW,60.172779,-132.742778,2313,-8,A,America/Vancouver
204,Greenwood,Greenwood,Canada,YZX,CYZX,44.984444,-64.916944,92,-4,A,America/Halifax
205,Faro,Faro,Canada,ZFA,CZFA,62.2075,-133.375833,2351,-8,A,America/Vancouver
206,Fort Mcpherson,Fort Mcpherson,Canada,ZFM,CZFM,67.4075,-134.860556,116,-7,A,America/Edmonton
6863,RK Heliplex,Panorama,Canada,,\N,50.2735,-116.14,358,-7,A,America/Edmonton
4094,Ekati,Ekati,Canada,YOA,CYOA,64.698889,-110.614722,1540,-7,A,America/Edmonton
4106,Victoria Inner Harbour Airport,Victoria,Canada,YWH,CYWH,48.422778,-123.3875,0,-8,A,America/Vancouver
4107,Vancouver Coal Harbour,Vancouver,Canada,CXH,CAQ3,49.289722,-123.115833,0,-8,A,America/Vancouver
4236,Aklavik,Aklavik,Canada,LAK,CYKD,68.223333,-135.005833,23,-7,A,America/Edmonton
4237,Deline,Deline,Canada,YWJ,CYWJ,65.1833333,-125.4166667,550,-7,A,America/Edmonton
4238,Tulita,Tulita,Canada,ZFN,CZFN,64.0833333,-125.5833333,320,-7,A,America/Edmonton
4239,Fort Good Hope,Fort Good Hope,Canada,YGH,CYGH,66.26666667,-128.65,215,-7,A,America/Edmonton
4240,Inuvik Town,Inuvik,Canada,,\N,66.3676,-133.7594,200,-7,A,America/Edmonton
4241,INAWR,Inuvik,Canada,,\N,68.3676,-133.7594,200,-7,A,America/Edmonton
4244,Paulatuk,Paulatuk,Canada,YPC,CYPC,62.35,-124.3333,50,-7,A,America/Edmonton
4246,Nicholson Peninsula,Nicholson Peninsula,Canada,,YUCX,69.917,-128.95,1,-7,A,America/Edmonton
5551,Wollaston Lake Airport,Wollaston Lake,Canada,ZWL,CZWL,58.1069,-103.172,1360,-6,N,America/Regina
5550,Churchill Falls Airport,Churchill Falls,Canada,ZUM,CZUM,53.5619,-64.1064,1442,-4,A,America/Halifax
5549,Shamattawa Airport,Shamattawa,Canada,ZTM,CZTM,55.8656,-92.0814,289,-6,A,America/Winnipeg
5548,Sandy Lake Airport,Sandy Lake,Canada,ZSJ,CZSJ,53.0642,-93.3444,951,-6,A,America/Winnipeg
5547,Round Lake (Weagamow Lake) Airport,Round Lake,Canada,ZRJ,CZRJ,52.9436,-91.3128,974,-6,A,America/Winnipeg
5546,Sachigo Lake Airport,Sachigo Lake,Canada,ZPB,CZPB,53.8911,-92.1964,876,-6,A,America/Winnipeg
5545,Masset Airport,Masset,Canada,ZMT,CZMT,54.0275,-132.125,25,-8,A,America/Vancouver
5544,Muskrat Dam Airport,Muskrat Dam,Canada,MSA,CZMD,53.4414,-91.7628,911,-6,A,America/Winnipeg
5543,Kashechewan Airport,Kashechewan,Canada,ZKE,CZKE,52.2825,-81.6778,35,-5,A,America/Toronto
5542,Swan River Airport,Swan River,Canada,ZJN,CZJN,52.1206,-101.236,1100,-6,A,America/Winnipeg
5541,Gods River Airport,Gods River,Canada,ZGI,CZGI,54.8397,-94.0786,627,-6,A,America/Winnipeg
5540,Fond-Du-Lac Airport,Fond-Du-Lac,Canada,ZFD,CZFD,59.3344,-107.182,814,-6,N,America/Regina
5539,Eastmain River Airport,Eastmain River,Canada,ZEM,CZEM,52.2264,-78.5225,24,-5,A,America/Toronto
5538,Bathurst Airport,Bathurst,Canada,ZBF,CZBF,47.6297,-65.7389,193,-4,A,America/Halifax
5537,Ilford Airport,Ilford,Canada,ILF,CZBD,56.0614,-95.6139,642,-6,A,America/Winnipeg
5536,York Landing Airport,York Landing,Canada,ZAC,CZAC,56.0894,-96.0892,621,-6,A,America/Winnipeg
5535,Salluit Airport,Salluit,Canada,YZG,CYZG,62.1794,-75.6672,743,-5,A,America/Toronto
5534,Whale Cove Airport,Whale Cove,Canada,YXN,CYXN,62.24,-92.5981,40,-6,A,America/Winnipeg
5533,Webequie Airport,Webequie,Canada,YWP,CYWP,52.9597,-87.3689,685,-5,A,America/Toronto
5532,Deer Lake Airport,Deer Lake,Canada,YVZ,CYVZ,52.6558,-94.0614,1092,-6,A,America/Winnipeg
5531,Big Trout Lake Airport,Big Trout Lake,Canada,YTL,CYTL,53.8178,-89.8969,729,-6,A,America/Winnipeg
5530,St. Theresa Point Airport,St. Theresa Point,Canada,YST,CYST,53.8456,-94.8519,773,-6,A,America/Winnipeg
5529,Sanikiluaq Airport,Sanikiluaq,Canada,YSK,CYSK,56.5378,-79.2467,104,-5,A,\N
5528,Stony Rapids Airport,Stony Rapids,Canada,YSF,CYSF,59.2503,-105.841,805,-6,N,America/Regina
5527,Red Lake Airport,Red Lake,Canada,YRL,CYRL,51.0669,-93.7931,1265,-6,A,America/Winnipeg
5526,Rae Lakes Airport,GamÌ¬tÌÂ,Canada,YRA,CYRA,64.1161,-117.31,723,-7,A,America/Edmonton
5525,Nakina Airport,Nakina,Canada,YQN,CYQN,50.182777,-86.696388,1057,-5,A,America/Toronto
5524,The Pas Airport,The Pas,Canada,YQD,CYQD,53.9714,-101.091,887,-6,A,America/Winnipeg
5523,Powell River Airport,Powell River,Canada,YPW,CYPW,49.8342,-124.5,425,-8,A,America/Vancouver
5522,Peawanuck Airport,Peawanuck,Canada,YPO,CYPO,54.9881,-85.4433,173,-5,A,America/Toronto
5521,Pikangikum Airport,Pikangikum,Canada,YPM,CYPM,51.8197,-93.9733,1114,-6,A,America/Winnipeg
5520,Inukjuak Airport,Inukjuak,Canada,YPH,CYPH,58.4719,-78.0769,83,-5,A,America/Toronto
5519,Oxford House Airport,Oxford House,Canada,YOH,CYOH,54.9333,-95.2789,663,-6,A,America/Winnipeg
5518,Points North Landing Airport,Points North Landing,Canada,YNL,CYNL,58.2767,-104.082,1605,-6,N,America/Regina
5517,Norway House Airport,Norway House,Canada,YNE,CYNE,53.9583,-97.8442,734,-6,A,America/Winnipeg
5516,Wemindji Airport,Wemindji,Canada,YNC,CYNC,53.0106,-78.8311,66,-5,A,America/Toronto
5515,Umiujaq Airport,Umiujaq,Canada,YUD,CYMU,56.5361,-76.5183,250,-5,A,America/Toronto
5514,Chapais Airport,Chibougamau,Canada,YMT,CYMT,49.7719,-74.5281,1270,-5,A,America/Toronto
5513,Mary's Harbour Airport,Mary's Harbour,Canada,YMH,CYMH,52.3028,-55.8472,38,-3.5,A,America/St_Johns
5512,Kangiqsualujjuaq (Georges River) Airport,Kangiqsualujjuaq,Canada,XGR,CYLU,58.7114,-65.9928,215,-5,A,America/Toronto
5511,Lutselk'e Airport,Lutselk'e,Canada,YSG,CYLK,62.4183,-110.682,596,-7,A,America/Edmonton
5510,Lansdowne House Airport,Lansdowne House,Canada,YLH,CYLH,52.1956,-87.9342,834,-5,A,America/Toronto
5509,Kimmirut Airport,Kimmirut,Canada,YLC,CYLC,62.85,-69.8833,175,-5,A,America/Toronto
5508,Aupaluk Airport,Aupaluk,Canada,YPJ,CYLA,59.2967,-69.5997,119,-5,A,America/Toronto
5507,Waskaganish Airport,Waskaganish,Canada,YKQ,CYKQ,51.4733,-78.7583,80,-5,A,America/Toronto
5506,Akulivik Airport,Akulivik,Canada,AKV,CYKO,60.8186,-78.1486,75,-5,A,America/Toronto
5505,Island Lake Airport,Island Lake,Canada,YIV,CYIV,53.8572,-94.6536,770,-6,A,America/Winnipeg
5504,Ivujivik Airport,Ivujivik,Canada,YIK,CYIK,62.4173,-77.9253,126,-5,A,America/Toronto
5503,Chevery Airport,Chevery,Canada,YHR,CYHR,50.4689,-59.6367,39,-4,A,America/Blanc-Sablon
5502,Hopedale Airport,Hopedale,Canada,YHO,CYHO,55.4483,-60.2286,39,-4,A,America/Halifax
5501,Nemiscau Airport,Nemiscau,Canada,YNS,CYHH,51.6911,-76.1356,802,-5,A,America/Toronto
5500,Vancouver Harbour Water Airport,Vancouver,Canada,YHC,CYHC,49.2944,-123.111,0,-8,A,America/Vancouver
